"ID","SoundType","Name","File_1","File_2","File_3","File_4","File_5","File_6","File_7","File_8","File_9","File_10","Freq_1","Freq_2","Freq_3","Freq_4","Freq_5","Freq_6","Freq_7","Freq_8","Freq_9","Freq_10","DirectoryBase","Volumefloat","Flags","MinDistance","DistanceCutoff","EAXDef","SoundEntriesAdvancedID"
"3","1","Invisibility Impact","Dispel_Low_Base.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"7","1","BlizzardImpactVariations","BlizzardImpact1a.ogg","BlizzardImpact1b.ogg","BlizzardImpact1c.ogg","BlizzardImpact1d.ogg","BlizzardImpact1e.ogg","BlizzardImpact1f.ogg","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,6","0","8","45","2","0"
"15","1","FrostImpact","DivineShield.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"20","1","Frost Precast","PreCastFrostMagicLow.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","512","8","45","2","0"
"22","1","Ice Blast Impact","IceBlastImpact.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"25","1","FireShield_Impact","DivineShield.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"26","1","Natures_Healing_Impact","RestorationImpact.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"27","1","Precast Nature High","PreCastNatureMagicHigh.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","512","8","45","2","0"
"29","1","Freeze Impact","IceBarrirerState.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"30","1","Call Lightning Impact","CallLightning.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"31","1","Call Lightning Precast","PreCastNatureMagicMedium.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"33","1","Lightning Shield","LightningShieldImpact.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"35","1","Lightning Cast","LightningShieldImpact.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"36","1","Ice Prison","DivineShield.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
"37","1","Resurrection","Resurrection.ogg","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","Sound\Spells","0,8","0","8","45","2","0"
